Pos,name,population,popGrowth,perCapitaGdp,migration,infantMortality,lifeExpectancy,healthExpeditures,obesity,education,unemployment
117,Finland,5476922,0.4,8200,3.1,2.52,80.77,9.1,23,6.8,8.6
22,France,66553766,0.43,40500,1.09,3.28,81.75,11.7,18.2,5.9,9.7
182,French Polynesia,282703,0.94,40400,-0.84,4.73,76.98,null,null,null,21.8
154,Gabon,1705336,1.93,26100,-2.03,46.07,52.04,3.5,13.9,null,21
149,"Gambia, The",1967709,2.16,21600,-2.12,63.9,64.6,5,7.9,4.1,null
152,Gaza Strip,1869055,2.81,null,0,14.94,74.87,null,null,null,45.1
122,Georgia,4931226,-0.08,1700,-2.7,16.15,75.95,9.2,22.1,2,14.9
18,Germany,80854408,-0.17,44700,1.24,3.43,80.57,11.3,25.1,5.1,5
49,Ghana,26327649,2.18,4200,-2.02,37.37,66.18,5.2,7.5,8.1,11
219,Gibraltar,29258,0.24,43000,-3.28,6.16,79.28,null,null,null,3
83,Greece,10775643,-0.01,25800,2.32,4.7,80.43,9.3,20.1,4.1,26.8
206,Greenland,57733,0,38400,-5.98,9.23,72.1,null,null,null,9.4
191,Grenada,110694,0.48,11800,-3.13,10.21,74.05,6.4,22.5,3.9,33.5
188,Guam,161785,0.54,28700,-6.34,5.41,78.98,null,null,null,8.2
71,Guatemala,14918999,1.81,7500,-1.97,22.73,72.02,6.7,19.2,3,4.1
205,Guernsey,66080,0.34,44600,2.32,3.44,82.47,null,null,null,0.9
76,Guinea,11780162,2.63,1300,0,53.43,60.08,6.3,4.4,2.5,null
153,Guinea-Bissau,1726170,1.91,1400,0,89.21,50.23,5.9,4.9,null,null
167,Guyana,735222,0.02,6900,-8.06,32.56,68.09,6.6,17.2,3.2,11
89,Haiti,10110019,1.17,1800,-2.76,47.98,63.51,6.4,7.9,null,40.6
236,Holy See (Vatican City),842,0,null,null,null,null,null,null,null,null
94,Honduras,8746673,1.68,4700,-1.16,18.18,71,8.6,18.4,null,4.3
103,Hong Kong,7141106,0.38,55200,1.68,2.73,82.86,null,null,3.5,3.1
90,Hungary,9897541,-0.22,24300,1.33,5.02,75.69,7.8,27.6,4.9,7.1
179,Iceland,331918,1.21,42600,4.43,2.06,82.97,9.1,23.2,7.6,4.5
2,India,1251695584,1.22,5800,-0.04,41.81,68.13,4,1.9,3.2,8.6
5,Indonesia,255993674,0.92,10200,-1.16,24.29,72.45,3,4.8,2.8,5.7
17,Iran,81824270,1.2,16500,-0.07,38.04,71.15,6.7,19.4,3.7,10.3
37,Iraq,37056169,2.93,14100,1.62,37.49,74.85,3.6,27,null,16
123,Ireland,4892305,1.25,46800,4.09,3.7,80.68,8.1,25.2,6.4,11.3
200,Isle of Man,87545,0.76,83100,6.56,4.11,81.09,null,null,null,2
99,Israel,8049314,1.56,33400,2.24,3.55,82.27,7.5,26.2,5.6,6.6
24,Italy,61855120,0.27,34500,4.1,3.29,82.12,9.2,19.8,4.5,12.5
139,Jamaica,2950210,0.68,8700,-4.66,13.37,73.55,5.9,24.1,6.1,13.6
11,Japan,126919659,-0.16,37800,0,2.08,84.74,10.1,5,3.8,3.6
197,Jersey,97294,0.8,57000,3.76,3.82,81.76,null,null,null,1.7
98,Jordan,8117564,0.83,11900,-13.24,15.18,74.35,9.8,30,null,12.3
61,Kazakhstan,18157122,1.14,24100,0.41,20.92,70.55,4.2,23.7,3.1,5.1
31,Kenya,45925301,1.93,3100,-0.22,39.38,63.77,4.7,4.2,6.7,40
193,Kiribati,105711,1.15,1600,-2.87,34.26,65.81,10.7,46,12,2
51,"Korea, North",24983205,0.53,1800,-0.04,23.68,70.11,null,3.9,null,null
28,"Korea, South",49115196,0.14,35400,0,3.86,80.04,7.5,7.7,5,3.3
151,Kosovo,1870981,null,8000,null,null,null,null,null,4.3,30.9
141,Kuwait,2788534,1.62,71000,-1.58,7.31,77.82,2.5,42,3.8,3
115,Kyrgyzstan,5664939,1.11,3400,-5.22,27.73,70.36,7.1,15.5,6.8,8.6
104,Laos,6911544,1.55,5000,-1.09,52.97,63.88,2.9,2.6,2.8,1.3
147,Latvia,1986705,-1.06,23900,-6.26,5.36,74.23,6,24.9,5,9.5
109,Lebanon,6184701,0.86,17900,-1.1,7.76,77.4,7.3,27.4,2.2,null
150,Lesotho,1947701,0.32,2900,-7.36,49.03,52.86,11.6,14.6,13,28.1
128,Liberia,4195666,2.47,900,0,67.5,58.6,15.5,4.8,2.8,85
108,Libya,6411776,2.23,16600,7.8,11.48,76.26,3.9,27.8,null,30
214,Liechtenstein,37624,0.84,89400,5.08,4.29,81.77,null,null,2.1,2.3
140,Lithuania,2884433,-1.04,26700,-6.27,3.84,74.69,6.7,27.6,5.4,11.1
173,Luxembourg,570252,2.13,92400,17.16,3.46,82.17,6.9,26,3.7,7.1
170,Macau,592731,0.8,88700,3.37,3.12,84.51,null,null,2.7,1.9
146,Macedonia,2096015,0.2,13200,-0.48,7.7,76.02,7.1,21.1,null,28
52,Madagascar,23812681,2.58,1400,0,43.67,65.55,4.1,1.6,2.7,null
63,Malawi,17964697,3.31,800,0,46.26,60.66,9.2,4.3,5.4,null
43,Malaysia,30513848,1.44,24500,-0.33,13.27,74.75,4,14,5.9,2.9
177,Maldives,393253,-0.08,12400,-12.68,23.7,75.37,8.5,12.9,6.8,11
66,Mali,16955536,2.98,1600,-2.26,102.23,55.34,5.8,4.3,4.8,30
176,Malta,413965,0.31,31700,1.98,3.56,80.25,9.1,28.8,6.9,5.9
203,Marshall Islands,72191,1.66,3200,-4.83,20.66,72.84,15.6,45.4,12.2,36
132,Mauritania,3596702,2.23,3400,-0.83,54.68,62.65,6.4,12.7,3.7,31
157,Mauritius,1339827,0.64,17900,0,10.3,75.4,4.8,18.5,3.5,8
12,Mexico,121736809,1.18,17900,-1.68,12.23,75.65,6.1,32.1,5.1,4.7
194,"Micronesia, Federated States of",105216,-0.46,3200,-20.93,21.18,72.62,12.8,40.6,null,22
133,Moldova,3546847,-1.02,4800,-9.67,12.59,70.42,11.7,21.2,8.4,6.2
218,Monaco,30535,0.12,78700,3.83,1.82,89.52,4.4,null,1.6,2
138,Mongolia,2992908,1.31,10200,-0.84,22.44,69.29,6.3,14.4,5.5,8.8
168,Montenegro,647073,-0.42,15200,null,null,null,7.6,22.5,null,19.1
229,Montserrat,5241,0.5,8500,0,13.17,74.14,null,null,null,6
40,Morocco,33322699,1,7700,-3.36,23.6,76.71,6.4,16.4,5.4,9.6
50,Mozambique,25303113,2.45,1100,-1.98,70.21,52.94,6.4,4.9,5,17
143,Namibia,2212307,0.59,10800,0,45.62,51.62,8.3,9.5,8.4,27.4
225,Nauru,9540,0.55,5000,-13.63,8.07,66.75,7.5,71.1,null,90
42,Nepal,31551305,1.79,2400,3.86,39.14,67.52,5.5,1.4,4.7,46
67,Netherlands,16947904,0.41,47400,1.95,3.62,81.23,12.4,18.8,5.9,7.2
184,New Caledonia,271615,1.38,38800,4.01,5.37,77.5,null,null,null,17.1
127,New Zealand,4438393,0.82,35000,2.21,4.52,81.05,10.3,28.3,7.4,5.9
111,Nicaragua,5907881,1,4800,-3,19.65,72.98,8.2,22.2,4.6,7.4
62,Niger,18045729,3.25,1000,-0.56,84.59,55.13,7.2,2.4,4.2,null
8,Nigeria,181562056,2.45,6100,-0.22,72.7,53.02,6.1,6.5,null,23.9
235,Niue,1190,-0.03,5800,null,null,null,6.7,null,null,12
231,Norfolk Island,2210,0.01,null,null,null,null,null,null,null,null
209,Northern Mariana Islands,52344,2.18,13600,7.16,5.4,77.82,null,null,null,11.2
121,Norway,5207689,1.13,65900,7.25,2.48,81.7,9,21.5,6.9,3.4
135,Oman,3286936,2.06,44100,-0.43,13.55,75.21,2.6,20.9,4.3,15
7,Pakistan,199085847,1.46,4700,-1.54,55.67,67.39,2.7,5.5,2.1,6.8
220,Palau,21265,0.38,15100,0.71,11.15,72.87,9.5,48.9,7.3,4.2
130,Panama,3657024,1.32,20300,-0.28,10.41,78.47,7.6,25.4,3.5,4.5
106,Papua New Guinea,6672429,1.78,2400,0,38.55,67.03,5.2,16.2,null,1.9
105,Paraguay,6783272,1.16,8400,-0.07,20.05,76.99,10.3,17.9,4.8,7.3
44,Peru,30444999,0.97,12000,-2.53,19.59,73.48,5.1,15.7,2.8,7.6
13,Philippines,100998376,1.61,7000,-2.09,22.34,68.96,4.6,6.3,2.7,7.2
238,Pitcairn Islands,48,0,null,null,null,null,null,null,null,null
35,Poland,38562189,-0.09,24400,-0.46,4.5,77.4,6.7,25.3,5.2,12.7
81,Portugal,10825309,0.09,26300,2.67,4.43,79.16,9.4,24,5.6,14.2
131,Puerto Rico,3598357,-0.6,16300,-8.15,7.57,79.25,null,null,null,16
144,Qatar,2194817,3.07,,22.39,6.32,78.59,2.2,33.2,2.5,0.4
58,Romania,21666350,-0.3,19400,-0.24,9.89,74.92,5.1,19.1,4.2,7
10,Russia,142423773,-0.04,24800,1.69,6.97,70.47,6.3,26.5,4.1,4.9
74,Rwanda,12661733,2.56,1700,0.85,58.19,59.67,10.7,4.3,5.1,null
227,Saint Barthelemy,7237,null,null,null,null,null,null,null,null,null
226,"Saint Helena, Ascension, and Tristan da Cunha",7795,0.24,7800,0,14.19,79.36,null,null,null,14
210,Saint Kitts and Nevis,51936,0.76,20300,1.21,8.77,75.52,5.9,40.7,4.2,4.5
187,Saint Lucia,163922,0.34,11100,-2.93,11.45,77.6,8.5,21.4,4.1,20
217,Saint Martin,31754,null,19300,null,null,null,null,null,null,null
228,Saint Pierre and Miquelon,5657,-1.08,34900,-8.49,6.78,80.39,null,null,null,9.9
196,Saint Vincent and the Grenadines,102627,-0.28,10900,-9.17,12.69,75.09,5.2,23.4,5.1,18.8
185,Samoa,197773,0.58,5200,-9.78,19.57,73.46,6.8,54.1,5.8,null
216,San Marino,33020,0.82,55000,8.03,4.45,83.24,6.5,null,null,7
186,Sao Tome and Principe,194006,1.84,3100,-8.63,47.88,64.58,7.9,9.5,9.5,null
47,Saudi Arabia,27752316,1.46,52800,-0.55,14.09,75.05,3.2,33,5.1,11.2
73,Senegal,13975834,2.45,2300,-1.59,51.54,61.32,5,6.8,5.6,48
102,Serbia,7176794,-0.46,12500,0,6.05,75.26,10.5,24.8,4.8,26.1
199,Seychelles,92430,0.83,24500,1,10.49,74.49,4.7,23.9,3.6,2
112,Sierra Leone,5879098,2.35,2100,-2.77,71.68,57.79,15.1,6.8,2.9,null
114,Singapore,5674472,1.89,81300,14.05,2.48,84.68,4.7,7.1,3,1.9
213,Sint Maarten,39689,1.51,66800,6.63,9.05,77.61,null,25.4,null,12
118,Slovakia,5445027,0.02,27700,0.04,5.27,76.88,7.8,null,4.2,12.7
148,Slovenia,1983412,-0.26,29400,0.37,4,78.01,8.8,28.6,5.7,13.6
169,Solomon Islands,622469,2.02,1800,-1.75,15.65,75.12,8,30,7.3,null
86,Somalia,10616380,1.83,600,-8.49,98.39,51.96,null,4.8,null,null
26,South Africa,53675563,1.33,12700,2.42,32.99,62.34,8.8,31.3,6,25
75,South Sudan,12042910,4.02,2000,11.47,66.39,null,2.6,null,null,null
29,Spain,48146134,0.89,33000,8.31,3.3,81.57,9.6,26.6,5,24.3
57,Sri Lanka,22053488,0.84,10400,-1.35,8.8,76.56,3.3,5.1,1.7,4.2
38,Sudan,36108853,1.72,4500,-4.29,51.52,63.68,7.2,6,null,20
171,Suriname,579633,1.08,16700,0.56,26.17,71.97,5.9,25.1,null,9
232,Svalbard,1872,-0.03,null,null,null,51.05,null,null,null,null
155,Swaziland,1435613,1.11,7800,0,52.57,null,8.5,19.7,8.3,40
91,Sweden,9801616,0.8,44700,5.42,2.6,81.98,9.6,18.6,7,7.9
97,Switzerland,8121830,0.71,55200,4.74,3.67,82.5,11.3,17.5,5.2,3.2
65,Syria,17064854,-0.16,5100,-19.79,15.61,74.69,3.4,27.1,5.1,33
54,Taiwan,23415126,0.23,43600,0.89,4.44,79.98,null,null,null,3.8
96,Tajikistan,8191958,1.71,2700,-1.15,33.93,67.39,5.8,8.6,3.9,2.5
27,Tanzania,51045882,2.79,1900,-0.54,42.43,61.71,7,5,6.2,null
21,Thailand,67976405,0.34,14400,0,9.63,74.43,3.9,8.8,5.8,1
159,Timor-Leste,1231116,2.42,6800,-3.86,37.54,67.72,4.3,2.7,9.4,18.4
100,Togo,7552318,2.69,1500,0,45.22,64.51,8.6,4.3,4.5,null
234,Tokelau,1337,-0.01,1000,null,null,null,null,63.4,null,null
192,Tonga,106501,0.03,5000,-17.84,11.96,76.04,5.4,57.6,3.9,13
160,Trinidad and Tobago,1222363,-0.13,31300,-6.25,23.9,72.59,5.4,29.3,3.2,5.3
79,Tunisia,11037225,0.89,11400,-1.73,22.35,75.89,7,22.3,6.2,15.2
19,Turkey,79414269,1.26,19600,2.16,18.87,74.57,6.3,27.8,2.9,9.4
120,Turkmenistan,5231422,1.14,14200,-1.84,36.82,69.78,2,13.2,null,60
211,Turks and Caicos Islands,50280,2.3,29100,9.94,10.65,79.69,null,null,null,10
223,Tuvalu,10869,0.82,3200,-6.81,30.8,66.16,15.4,null,null,null
36,Uganda,37101745,3.24,1800,-0.74,59.21,54.93,8,4.3,3.3,null
32,Ukraine,44429471,-0.6,8200,-2.25,8.12,71.57,7.6,21.3,6.2,8.8
113,United Arab Emirates,5779760,2.58,65000,12.36,10.59,77.29,2.8,32.7,null,2.4
